,Names,Prices,links
0,Just InAir Jordan 1 Retro High OGMen's Shoes1 Color$180,$180 ,https://www.nike.comhttps://www.nike.com/t/air-jordan-1-retro-high-og-mens-shoes-JHpxkn/DZ5485-701
1,Just InAir Jordan 1 High OGBig Kids' Shoes1 Color$140,$140 ,https://www.nike.comhttps://www.nike.com/t/air-jordan-1-high-og-big-kids-shoes-kwqPnW/FD1437-701
2,Just InAir Jordan 1 High Method of MakeWomen's Shoes4 Colors$155,$155 ,https://www.nike.comhttps://www.nike.com/t/air-jordan-1-high-method-of-make-womens-shoes-hCCcBh/FB9891-600
3,Just InAir Jordan 1 Low SEWomen's Shoes1 Color$125,$125 ,https://www.nike.comhttps://www.nike.com/t/air-jordan-1-low-se-womens-shoes-pTFmdP/FB9893-600
4,Just InAir Jordan 1 BrooklynWomen's Boots3 Colors$165,$115 ,https://www.nike.comhttps://www.nike.com/t/air-jordan-1-low-mens-shoes-0LXhbn/553558-132
5,Best SellerAir Jordan 1 MidMen's Shoes6 Colors$125,$165 ,https://www.nike.comhttps://www.nike.com/t/air-jordan-1-brooklyn-womens-boots-kd9QhX/FJ5737-103
6,Best SellerAir Jordan 1 LowWomen's Shoes7 Colors$115,$125 ,https://www.nike.comhttps://www.nike.com/t/air-jordan-1-mid-mens-shoes-X5pM09/DQ8426-701
7,Best SellerAir Jordan 1 Mid SEMen's Shoes2 Colors$135,$150 ,https://www.nike.comhttps://www.nike.com/t/air-jordan-1-hi-flyease-mens-shoes-VjGcGX/CQ3835-107
8,Best SellerAir Jordan 1 MidWomen's Shoes1 Color$125,$115 ,https://www.nike.comhttps://www.nike.com/t/air-jordan-1-low-womens-shoes-rJrHLw/DC0774-102
9,Launching in SNKRSAir Jordan 1 Retro Low OG Lunar New YearMen's Shoes1 Color$160,$135 ,https://www.nike.comhttps://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-TlHVHn/FB9911-001
